,species,Genus,abbreviation,Clade,wing_M,wing_F,tail_max_M,tail_max_F,tarsus_M,tarsus_F,weight_M,weight_F,tail_wires,AVONET_average_Wt,category,category2,avg_wing,avg_tail_max,avg_tarsus,avg_weight,SSD_weight,SSD_tarsus,rel_tail_length_M,rel_tail_length_F,rel_tail_dim,GG2
Astrapia_mayeri,Astrapia_mayeri,Astrapia,AstMay,Core,2.252853,2.193125,2.950851,2.489958,1.611723,1.595496,2.167317,2.120574,N,139.3,long,long,2.224015,2.778874,1.603686,2.144574,0.113636364,0.038071066,2.23563639,1.79016858,0.44546781,l
Astrapia_rothschildi,Astrapia_rothschildi,Astrapia,AstRot,Core,2.274158,2.214844,2.646404,2.40824,1.621176,1.603144,2.31597,2.201397,N,181.4,long,long,2.245513,2.543447,1.612254,2.262451,0.301886792,0.042394015,1.8821339,1.68177899,0.20035491,l
Astrapia_splendidissima,Astrapia_splendidissima,Astrapia,AstSpl,Core,2.136721,2.130334,2.33646,2.324282,1.576341,1.565848,2.139879,2.09691,N,131.3,long,long,2.133539,2.330414,1.571126,2.118926,0.104,0.024456522,1.63029993,1.6323017,-0.00200177,l
Astrapia_stephaniae,Astrapia_stephaniae,Astrapia,AstSte,Core,2.227887,2.187521,2.804139,2.507856,1.621176,1.60206,2.190332,2.136721,N,141.8,long,long,2.208173,2.680789,1.611723,2.164353,0.131386861,0.045,2.08132944,1.80273807,0.27859137,l
Cicinnurus_regius,Cicinnurus_regius,Cicinnurus,CicReg,Core,2,1.995635,2.198657,1.763428,1.421604,1.418301,1.724276,1.69897,Y,51.6,long,wired,1.997823,2.033424,1.419956,1.711807,0.06,0.007633588,1.62964592,1.2027679,0.42687802,l
Cicinnurus_magnificus,Cicinnurus_magnificus,Cicinnurus,CicMag,Core,2.060698,2.041393,2.439333,1.778151,1.498311,1.477121,1.986772,1.913814,Y,89.8,long,wired,2.051153,2.224015,1.487845,1.951823,0.182926829,0.05,1.78369824,1.14659238,0.63710586,l
Cicinnurus_respublica,Cicinnurus_respublica,Cicinnurus,CicRes,Core,1.991226,1.986772,2.146128,1.724276,1.432969,1.423246,1.78533,1.748188,Y,58.4,long,wired,1.989005,1.984527,1.428135,1.767156,0.089285714,0.022641509,1.5569691,1.14737396,0.40959514,l
Drepanornis_albertisi,Drepanornis_albertisi,Drepanornis,DreAlb,Core,2.184691,2.170262,2.11059,2.093422,1.536558,1.531479,2.049218,2.045323,N,110,short,short,2.177536,2.102091,1.534026,2.047275,0.009009009,0.011764706,1.43434806,1.41846541,0.01588265,s
Drepanornis_bruijnii,Drepanornis_bruijnii,Drepanornis,DreBru,Core,2.20412,2.190332,2.041393,2.045323,1.518514,1.506505,2.206826,2.164353,N,153.3,short,short,2.197281,2.043362,1.512551,2.186108,0.102739726,0.028037383,1.31314042,1.33108651,-0.01794609,s
Epimachus_fastuosus,Epimachus_fastuosus,Epimachus,EpiFas,Core,2.303196,2.232996,2.866287,2.474216,1.706718,1.673942,2.44248,2.290035,N,232.9,long,long,2.269513,2.71307,1.690639,2.372912,0.420512821,0.078389831,2.0602686,1.71850445,0.34176415,l
Epimachus_meyeri,Epimachus_meyeri,Epimachus,EpiMey,Core,2.260071,2.1959,2.848805,2.468347,1.700704,1.658011,2.369216,2.220108,N,220.5,long,long,2.22917,2.69897,1.679882,2.30103,0.409638554,0.103296703,2.06696372,1.73571136,0.33125236,l
Lophorina_superba,Lophorina_superba,Lophorina,LopSup,Core,2.133539,2.079181,1.963788,1.924279,1.502427,1.472756,1.939519,1.826075,N,76.7,short,short,2.10721,1.944483,1.487845,1.886491,0.298507463,0.070707071,1.32374673,1.32167425,0.00207248,s
Lycocorax_pyrrhopterus,Lycocorax_pyrrhopterus,Lycocorax,LycPyr,Basal,2.296665,2.283301,2.161368,2.146128,1.644439,1.636488,2.480007,2.426511,N,283.9,short,short,2.290035,2.153815,1.640481,2.454082,0.131086142,0.018475751,1.34296569,1.34537937,-0.00241368,s
Manucodia_ater,Manucodia_ater,Manucodia,ManAtr,Basal,2.278754,2.260071,2.20412,2.178977,1.607455,1.596597,2.376577,2.318063,N,228,short,short,2.269513,2.19173,1.60206,2.348305,0.144230769,0.025316456,1.41984959,1.41401621,0.00583338,s
Manucodia_chalybatus,Manucodia_chalybatus,Manucodia,ManCha,Basal,2.238046,2.222716,2.149219,2.133539,1.577492,1.569374,2.348305,2.320146,N,215.9,short,short,2.230449,2.14145,1.573452,2.334454,0.066985646,0.018867925,1.37427835,1.36789082,0.00638753,s
Manucodia_comrii,Manucodia_comrii,Manucodia,ManCom,Basal,2.374748,2.352183,2.222716,2.20412,1.701568,1.689309,2.651278,2.621176,N,432.7,short,short,2.363612,2.213518,1.695482,2.636488,0.071770335,0.028629857,1.34779426,1.33913192,0.00866234,s
Manucodia_jobiensis,Manucodia_jobiensis,Manucodia,ManJob,Basal,2.245513,2.227887,2.123852,2.103804,1.569374,1.557507,2.357935,2.255273,N,202.6,short,short,2.236789,2.113943,1.563481,2.30963,0.266666667,0.027700831,1.34573345,1.35956391,-0.01383046,s
Paradigalla_brevicauda,Paradigalla_brevicauda,Paradigalla,ParBre,Core,2.198657,2.176091,1.724276,1.832509,1.643453,1.622214,2.238046,2.212188,N,167.9,short,short,2.187521,1.781755,1.632963,2.225309,0.061349693,0.050119332,0.98572082,1.10248696,-0.11676614,s
Paradisaea_minor,Paradisaea_minor,Paradisaea,ParMin,Core,2.281033,2.212188,2.687529,2.056905,1.655138,1.606381,2.404834,2.217484,Y,207.9,long,wired,2.247973,2.477844,1.631444,2.321184,0.539393939,0.118811881,1.89393378,1.32513528,0.5687985,l
Paradisaea_raggiana,Paradisaea_raggiana,Paradisaea,ParRag,Core,2.269513,2.209515,2.658011,2.075547,1.627366,1.577492,2.431364,2.238046,Y,212.6,long,wired,2.240549,2.457882,1.603144,2.345374,0.560693642,0.121693122,1.85566088,1.33699182,0.51866906,l
Paradisaea_rubra,Paradisaea_rubra,Paradisaea,ParRub,Core,2.245513,2.201397,2.750508,2.056905,1.622214,1.588832,2.303196,2.198657,Y,178.2,long,wired,2.224015,2.529559,1.605844,2.254064,0.272151899,0.079896907,1.99045332,1.33134819,0.65910513,l
Paradisaea_rudolphi,Paradisaea_rudolphi,Paradisaea,ParRud,Core,2.1959,2.173186,2.617,1.973128,1.595496,1.579784,2.245513,2.184691,Y,164.1,long,wired,2.184691,2.404834,1.587711,2.216166,0.150326797,0.036842105,1.87598071,1.25217997,0.62380074,l
Parotia_carolae,Parotia_carolae,Parotia,ParCaro,Core,2.190332,2.158362,1.886491,1.963788,1.701568,1.665581,2.311754,2.139879,N,163.2,short,short,2.174641,1.926857,1.683947,2.234264,0.485507246,0.086393089,1.12361218,1.25762793,-0.13401575,s
Parotia_lawesii,Parotia_lawesii,Parotia,ParLaw,Core,2.190332,2.170262,1.90309,1.991226,1.695482,1.662758,2.222716,2.158362,N,161.4,short,short,2.180413,1.94939,1.679428,2.19173,0.159722222,0.07826087,1.16959372,1.27896654,-0.10937282,s
Parotia_sefilata,Parotia_sefilata,Parotia,ParSef,Core,2.220108,2.181844,2.113943,2.11059,1.722634,1.676694,2.283301,2.235528,N,181.7,short,short,2.201397,2.11227,1.700271,2.260071,0.11627907,0.111578947,1.36045367,1.37286576,-0.01241209,s
Parotia_wahnesi,Parotia_wahnesi,Parotia,ParWah,Core,2.206826,2.173186,2.32838,2.220108,1.706718,1.665581,2.232996,2.170262,N,158,long,long,2.190332,2.277609,1.686636,2.202761,0.155405405,0.099352052,1.59149132,1.50392154,0.08756978,l
Phonygammus_keraudrenii,Phonygammus_keraudrenii,Phonygammus,PhoKer,Basal,2.222716,2.20412,2.113943,2.093422,1.557507,1.545307,2.232996,2.178977,N,154.7,short,short,2.213518,2.103804,1.55145,2.206826,0.132450331,0.028490028,1.37705432,1.37435959,0.00269473,s
Pteridophora_alberti,Pteridophora_alberti,Pteridophora,PteAlb,Core,2.100371,2.060698,1.934498,1.924279,1.507856,1.485721,1.939519,1.886491,N,81.8,short,short,2.080987,1.929419,1.49693,1.913814,0.12987013,0.052287582,1.29445673,1.30173697,-0.00728024,s
Ptiloris_intercedens,Ptiloris_intercedens,Ptiloris,PtiInt,Core,2.285557,2.181844,2.004321,1.991226,1.606381,1.546543,2.264818,2.100371,N,158,short,short,2.236789,1.997823,1.577492,2.190332,0.46031746,0.147727273,1.25693106,1.29810357,-0.04117251,s
Ptiloris_magnificus,Ptiloris_magnificus,Ptiloris,PtiMag,Core,2.283301,2.1959,2.0086,1.995635,1.597695,1.550228,2.31597,2.152288,N,149.9,short,short,2.241795,2.002166,1.57461,2.241795,0.457746479,0.115492958,1.2443299,1.28537996,-0.04105006,s
Ptiloris_paradiseus,Ptiloris_paradiseus,Ptiloris,PtiPar,Core,2.20412,2.158362,1.991226,1.959041,1.522444,1.509203,2.149219,2.017033,N,119.5,short,short,2.181844,1.975432,1.515874,2.088136,0.355769231,0.030959752,1.28198373,1.29342011,-0.01143638,s
Ptiloris_victoriae,Ptiloris_victoriae,Ptiloris,PtiVic,Core,2.143015,2.09691,1.908485,1.892095,1.506505,1.481443,2.021189,1.934498,N,95,short,short,2.120574,1.900367,1.494155,1.980003,0.220930233,0.059405941,1.24149263,1.25371066,-0.01221803,s
Seleucidis_melanoleucus,Seleucidis_melanoleucus,Seleucidis,SelMel,Core,2.238046,2.209515,1.838849,2.012837,1.605305,1.571709,2.285557,2.232996,N,174.4,short,short,2.224015,1.934498,1.588832,2.260071,0.128654971,0.080428954,1.08461519,1.27594832,-0.19133313,s
Semioptera_wallacii,Semioptera_wallacii,Semioptera,SemWal,Core,2.1959,2.158362,1.913814,1.934498,1.621176,1.594393,2.212188,2.130334,N,148.3,short,short,2.177536,1.924279,1.607991,2.173186,0.207407407,0.063613232,1.18379196,1.23148778,-0.04769582,s